Time (s),GenPwr
0.0000,8.877E+02
0.1000,8.832E+02
0.2000,8.789E+02
0.3000,8.748E+02
0.4000,8.705E+02
0.5000,8.662E+02
0.6000,8.621E+02
0.7000,8.581E+02
0.8000,8.540E+02
0.9000,8.493E+02
1.0000,8.441E+02
1.1000,8.386E+02
1.2000,8.331E+02
1.3000,8.273E+02
1.4000,8.213E+02
1.5000,8.153E+02
1.6000,8.096E+02
1.7000,8.044E+02
1.8000,7.995E+02
1.9000,7.948E+02
2.0000,7.902E+02
2.1000,7.857E+02
2.2000,7.815E+02
2.3000,7.775E+02
2.4000,7.738E+02
2.5000,7.703E+02
2.6000,7.671E+02
2.7000,7.638E+02
2.8000,7.601E+02
2.9000,7.563E+02
3.0000,7.526E+02
3.1000,7.493E+02
3.2000,7.459E+02
3.3000,7.424E+02
3.4000,7.391E+02
3.5000,7.358E+02
3.6000,7.325E+02
3.7000,7.287E+02
3.8000,7.243E+02
3.9000,7.196E+02
4.0000,7.150E+02
4.1000,7.103E+02
4.2000,7.055E+02
4.3000,7.008E+02
4.4000,6.962E+02
4.5000,6.918E+02
4.6000,6.877E+02
4.7000,6.837E+02
4.8000,6.797E+02
4.9000,6.759E+02
5.0000,6.724E+02
5.1000,6.693E+02
5.2000,6.663E+02
5.3000,6.636E+02
5.4000,6.612E+02
5.5000,6.589E+02
5.6000,6.564E+02
5.7000,6.536E+02
5.8000,6.505E+02
5.9000,6.476E+02
6.0000,6.449E+02
6.1000,6.423E+02
6.2000,6.399E+02
6.3000,6.373E+02
6.4000,6.346E+02
6.5000,6.317E+02
6.6000,6.287E+02
6.7000,6.258E+02
6.8000,6.228E+02
6.9000,6.197E+02
7.0000,6.164E+02
7.1000,6.129E+02
7.2000,6.094E+02
7.3000,6.059E+02
7.4000,6.027E+02
7.5000,5.999E+02
7.6000,5.971E+02
7.7000,5.943E+02
7.8000,5.914E+02
7.9000,5.886E+02
8.0000,5.860E+02
8.1000,5.836E+02
8.2000,5.815E+02
8.3000,5.795E+02
8.4000,5.777E+02
8.5000,5.760E+02
8.6000,5.741E+02
8.7000,5.723E+02
8.8000,5.705E+02
8.9000,5.689E+02
9.0000,5.673E+02
9.1000,5.655E+02
9.2000,5.637E+02
9.3000,5.619E+02
9.4000,5.601E+02
9.5000,5.583E+02
9.6000,5.564E+02
9.7000,5.543E+02
9.8000,5.523E+02
9.9000,5.500E+02
10.0000,5.477E+02
10.1000,5.453E+02
10.2000,5.429E+02
10.3000,5.403E+02
10.4000,5.377E+02
10.5000,5.353E+02
10.6000,5.331E+02
10.7000,5.310E+02
10.8000,5.290E+02
10.9000,5.272E+02
11.0000,5.256E+02
11.1000,5.242E+02
11.2000,5.230E+02
11.3000,5.220E+02
11.4000,5.211E+02
11.5000,5.200E+02
11.6000,5.189E+02
11.7000,5.176E+02
11.8000,5.162E+02
11.9000,5.149E+02
12.0000,5.137E+02
12.1000,5.125E+02
12.2000,5.111E+02
12.3000,5.096E+02
12.4000,5.083E+02
12.5000,5.071E+02
12.6000,5.060E+02
12.7000,5.049E+02
12.8000,5.040E+02
12.9000,5.029E+02
13.0000,5.017E+02
13.1000,5.004E+02
13.2000,4.987E+02
13.3000,4.969E+02
13.4000,4.950E+02
13.5000,4.930E+02
13.6000,4.912E+02
13.7000,4.895E+02
13.8000,4.881E+02
13.9000,4.871E+02
14.0000,4.863E+02
14.1000,4.858E+02
14.2000,4.857E+02
14.3000,4.857E+02
14.4000,4.857E+02
14.5000,4.857E+02
14.6000,4.857E+02
14.7000,4.857E+02
14.8000,4.857E+02
14.9000,4.857E+02
15.0000,4.856E+02
15.1000,4.855E+02
15.2000,4.854E+02
15.3000,4.853E+02
15.4000,4.848E+02
15.5000,4.842E+02
15.6000,4.835E+02
15.7000,4.830E+02
15.8000,4.829E+02
15.9000,4.832E+02
16.0000,4.840E+02
16.1000,4.846E+02
16.2000,4.851E+02
16.3000,4.854E+02
16.4000,4.856E+02
16.5000,4.857E+02
16.6000,4.857E+02
16.7000,4.857E+02
16.8000,4.856E+02
16.9000,4.855E+02
17.0000,4.855E+02
17.1000,4.856E+02
17.2000,4.860E+02
17.3000,4.866E+02
17.4000,4.876E+02
17.5000,4.887E+02
17.6000,4.899E+02
17.7000,4.911E+02
17.8000,4.922E+02
17.9000,4.933E+02
18.0000,4.942E+02
18.1000,4.952E+02
18.2000,4.963E+02
18.3000,4.975E+02
18.4000,4.987E+02
18.5000,4.995E+02
18.6000,5.000E+02
18.7000,5.002E+02
18.8000,5.003E+02
18.9000,5.008E+02
19.0000,5.016E+02
19.1000,5.026E+02
19.2000,5.036E+02
19.3000,5.047E+02
19.4000,5.057E+02
19.5000,5.066E+02
19.6000,5.073E+02
19.7000,5.081E+02
19.8000,5.089E+02
19.9000,5.097E+02
20.0000,5.106E+02
20.1000,5.115E+02
20.2000,5.126E+02
20.3000,5.140E+02
20.4000,5.154E+02
20.5000,5.168E+02
20.6000,5.184E+02
20.7000,5.203E+02
20.8000,5.221E+02
20.9000,5.239E+02
21.0000,5.256E+02
21.1000,5.271E+02
21.2000,5.289E+02
21.3000,5.308E+02
21.4000,5.327E+02
21.5000,5.345E+02
21.6000,5.360E+02
21.7000,5.374E+02
21.8000,5.387E+02
21.9000,5.400E+02
22.0000,5.413E+02
22.1000,5.429E+02
22.2000,5.447E+02
22.3000,5.466E+02
22.4000,5.485E+02
22.5000,5.503E+02
22.6000,5.519E+02
22.7000,5.535E+02
22.8000,5.550E+02
22.9000,5.565E+02
23.0000,5.580E+02
23.1000,5.594E+02
