
Predictions were generated on 14-Apr-2026 at 19:50:31 using OpenFAST, compiled on Jan 27 2026 at 22:54:51 as a 64-bit application using single precision at commit v4.2.0
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn

Description from the FAST input file: FAST Certification Test #26: NREL 5.0 MW Baseline Wind Turbine (Onshore)

Time	Wind1VelX	Wind1VelY	Wind1VelZ	OoPDefl1	IPDefl1	RotSpeed	RotTorq	BldPitch1	BldPitch2	BldPitch3	NacYaw	RtSkew	RtVAvgxh	RtVAvgyh	RtTSR	RtAeroCp	GenPwr	GenTq
(s)	(m/s)	(m/s)	(m/s)	(m)	(m)	(rpm)	(kN-m)	(deg)	(deg)	(deg)	(deg)	(deg)	(m/s)	(m/s)	(-)	(-)	(kW)	(kN-m)
    0.0000	 7.096E+00	 1.213E-01	-2.288E-01	 0.000E+00	 0.000E+00	 7.500E+00	 5.229E-06	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 3.946E+00	 5.571E+00	-9.473E-03	 8.873E+00	 3.488E-01	 8.877E+02	 1.234E+01
    0.1000	 7.214E+00	 1.081E-01	-3.206E-01	 0.000E+00	 0.000E+00	 7.487E+00	 1.121E+03	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 3.219E+00	 5.539E+00	-3.795E-02	 8.908E+00	 3.439E-01	 8.829E+02	 1.230E+01
    0.2000	 7.198E+00	 1.412E-01	-2.598E-01	 0.000E+00	 0.000E+00	 7.473E+00	 1.114E+03	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 4.832E+00	 5.448E+00	-7.179E-02	 9.040E+00	 3.416E-01	 8.780E+02	 1.225E+01
    0.3000	 7.088E+00	 2.545E-01	-1.810E-01	 0.000E+00	 0.000E+00	 7.458E+00	 1.104E+03	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 5.630E+00	 5.335E+00	-5.196E-02	 9.214E+00	 3.297E-01	 8.729E+02	 1.221E+01
    0.4000	 7.041E+00	 3.521E-01	-2.695E-01	 0.000E+00	 0.000E+00	 7.442E+00	 1.097E+03	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 4.758E+00	 5.296E+00	-5.525E-02	 9.262E+00	 3.205E-01	 8.674E+02	 1.215E+01
    0.5000	 7.075E+00	 2.597E-01	-2.908E-01	 0.000E+00	 0.000E+00	 7.427E+00	 1.095E+03	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 4.107E+00	 5.341E+00	-6.088E-02	 9.165E+00	 3.226E-01	 8.621E+02	 1.210E+01
    0.6000	 7.079E+00	 1.676E-01	-2.294E-01	 0.000E+00	 0.000E+00	 7.412E+00	 1.089E+03	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 3.478E+00	 5.342E+00	 2.336E-02	 9.145E+00	 3.159E-01	 8.568E+02	 1.206E+01
    0.7000	 7.158E+00	 1.666E-01	-3.686E-01	 0.000E+00	 0.000E+00	 7.397E+00	 1.083E+03	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 3.209E+00	 5.310E+00	 1.117E-01	 9.180E+00	 3.067E-01	 8.515E+02	 1.201E+01
    0.8000	 7.173E+00	-8.418E-02	-4.733E-01	 0.000E+00	 0.000E+00	 7.381E+00	 1.078E+03	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 3.836E+00	 5.276E+00	 1.401E-01	 9.220E+00	 3.086E-01	 8.461E+02	 1.195E+01
    0.9000	 7.202E+00	-1.330E-01	-3.674E-01	 0.000E+00	 0.000E+00	 7.366E+00	 1.082E+03	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 4.549E+00	 5.372E+00	 2.765E-01	 9.038E+00	 3.385E-01	 8.410E+02	 1.191E+01
    1.0000	 7.264E+00	 7.761E-04	-2.960E-01	 0.000E+00	 0.000E+00	 7.353E+00	 1.092E+03	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 4.805E+00	 5.571E+00	 4.110E-01	 8.699E+00	 3.733E-01	 8.366E+02	 1.187E+01
    1.1000	 7.266E+00	-9.910E-02	-2.338E-01	 0.000E+00	 0.000E+00	 7.343E+00	 1.100E+03	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 5.043E+00	 5.714E+00	 4.900E-01	 8.470E+00	 3.972E-01	 8.332E+02	 1.183E+01
    1.2000	 7.240E+00	-1.338E-01	-4.910E-03	 0.000E+00	 0.000E+00	 7.335E+00	 1.104E+03	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 5.659E+00	 5.775E+00	 5.637E-01	 8.372E+00	 4.111E-01	 8.304E+02	 1.181E+01
    1.3000	 7.287E+00	-4.595E-02	-3.363E-02	 0.000E+00	 0.000E+00	 7.327E+00	 1.100E+03	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 5.649E+00	 5.742E+00	 5.445E-01	 8.410E+00	 4.092E-01	 8.277E+02	 1.178E+01
    1.4000	 7.277E+00	 1.477E-02	-8.594E-02	 0.000E+00	 0.000E+00	 7.319E+00	 1.097E+03	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 4.517E+00	 5.700E+00	 4.162E-01	 8.463E+00	 4.131E-01	 8.249E+02	 1.175E+01
