Time (s),GenTq

0.0000,1.234E+01
0.1000,1.230E+01
0.2000,1.226E+01
0.3000,1.221E+01
0.4000,1.217E+01
0.5000,1.212E+01
0.6000,1.208E+01
0.7000,1.204E+01
0.8000,1.200E+01
0.9000,1.195E+01
1.0000,1.191E+01
1.1000,1.187E+01
1.2000,1.182E+01
1.3000,1.177E+01
1.4000,1.171E+01
1.5000,1.165E+01
1.6000,1.160E+01
1.7000,1.155E+01
1.8000,1.150E+01
1.9000,1.145E+01
2.0000,1.140E+01
2.1000,1.136E+01
2.2000,1.132E+01
2.3000,1.128E+01
2.4000,1.125E+01
2.5000,1.121E+01
2.6000,1.118E+01
2.7000,1.114E+01
2.8000,1.111E+01
2.9000,1.108E+01
3.0000,1.105E+01
3.1000,1.101E+01
3.2000,1.097E+01
3.3000,1.093E+01
3.4000,1.090E+01
3.5000,1.086E+01
3.6000,1.083E+01
3.7000,1.079E+01
3.8000,1.076E+01
3.9000,1.072E+01
4.0000,1.068E+01
4.1000,1.063E+01
4.2000,1.059E+01
4.3000,1.054E+01
4.4000,1.049E+01
4.5000,1.044E+01
4.6000,1.040E+01
4.7000,1.036E+01
4.8000,1.032E+01
4.9000,1.028E+01
5.0000,1.024E+01
5.1000,1.021E+01
5.2000,1.018E+01
5.3000,1.016E+01
5.4000,1.013E+01
5.5000,1.010E+01
5.6000,1.007E+01
5.7000,1.005E+01
5.8000,1.002E+01
5.9000,9.996E+00
6.0000,9.965E+00
6.1000,9.936E+00
6.2000,9.910E+00
6.3000,9.888E+00
6.4000,9.867E+00
6.5000,9.844E+00
6.6000,9.817E+00
6.7000,9.787E+00
6.8000,9.754E+00
6.9000,9.722E+00
7.0000,9.689E+00
7.1000,9.655E+00
7.2000,9.623E+00
7.3000,9.590E+00
7.4000,9.557E+00
7.5000,9.524E+00
7.6000,9.490E+00
7.7000,9.458E+00
7.8000,9.427E+00
7.9000,9.398E+00
8.0000,9.370E+00
8.1000,9.345E+00
8.2000,9.324E+00
8.3000,9.304E+00
8.4000,9.284E+00
8.5000,9.263E+00
8.6000,9.241E+00
8.7000,9.221E+00
8.8000,9.205E+00
8.9000,9.189E+00
9.0000,9.173E+00
9.1000,9.154E+00
9.2000,9.135E+00
9.3000,9.113E+00
9.4000,9.092E+00
9.5000,9.074E+00
9.6000,9.056E+00
9.7000,9.037E+00
9.8000,9.019E+00
9.9000,9.001E+00
10.0000,8.982E+00
10.1000,8.962E+00
10.2000,8.938E+00
10.3000,8.913E+00
10.4000,8.888E+00
10.5000,8.865E+00
10.6000,8.844E+00
10.7000,8.822E+00
10.8000,8.801E+00
10.9000,8.780E+00
11.0000,8.761E+00
11.1000,8.743E+00
11.2000,8.725E+00
11.3000,8.708E+00
11.4000,8.692E+00
11.5000,8.675E+00
11.6000,8.657E+00
11.7000,8.641E+00
11.8000,8.630E+00
11.9000,8.620E+00
12.0000,8.610E+00
12.1000,8.600E+00
12.2000,8.590E+00
12.3000,8.580E+00
12.4000,8.570E+00
12.5000,8.559E+00
12.6000,8.551E+00
12.7000,8.543E+00
12.8000,8.535E+00
12.9000,8.526E+00
13.0000,8.514E+00
13.1000,8.502E+00
13.2000,8.488E+00
13.3000,8.475E+00
13.4000,8.462E+00
13.5000,8.448E+00
13.6000,8.434E+00
13.7000,8.419E+00
13.8000,8.404E+00
13.9000,8.393E+00
14.0000,8.383E+00
14.1000,8.376E+00
14.2000,8.367E+00
14.3000,8.359E+00
14.4000,8.350E+00
14.5000,8.342E+00
14.6000,8.336E+00
14.7000,8.331E+00
14.8000,8.326E+00
14.9000,8.323E+00
15.0000,8.320E+00
15.1000,8.318E+00
15.2000,8.314E+00
15.3000,8.310E+00
15.4000,8.306E+00
15.5000,8.304E+00
15.6000,8.303E+00
15.7000,8.299E+00
15.8000,8.291E+00
15.9000,8.282E+00
16.0000,8.274E+00
16.1000,8.268E+00
16.2000,8.263E+00
16.3000,8.256E+00
16.4000,8.248E+00
16.5000,8.240E+00
16.6000,8.233E+00
16.7000,8.229E+00
16.8000,8.226E+00
16.9000,8.227E+00
17.0000,8.232E+00
17.1000,8.240E+00
17.2000,8.248E+00
17.3000,8.255E+00
17.4000,8.262E+00
17.5000,8.268E+00
17.6000,8.273E+00
17.7000,8.276E+00
17.8000,8.277E+00
17.9000,8.275E+00
18.0000,8.274E+00
18.1000,8.277E+00
18.2000,8.283E+00
18.3000,8.290E+00
18.4000,8.298E+00
18.5000,8.308E+00
18.6000,8.318E+00
18.7000,8.329E+00
18.8000,8.341E+00
18.9000,8.354E+00
19.0000,8.366E+00
19.1000,8.375E+00
19.2000,8.385E+00
19.3000,8.394E+00
19.4000,8.404E+00
19.5000,8.415E+00
19.6000,8.427E+00
19.7000,8.437E+00
19.8000,8.448E+00
19.9000,8.460E+00
20.0000,8.475E+00
20.1000,8.489E+00
20.2000,8.503E+00
20.3000,8.513E+00
20.4000,8.523E+00
20.5000,8.534E+00
20.6000,8.546E+00
20.7000,8.555E+00
20.8000,8.559E+00
20.9000,8.559E+00
21.0000,8.555E+00
21.1000,8.554E+00
21.2000,8.556E+00
21.3000,8.562E+00
21.4000,8.572E+00
21.5000,8.584E+00
21.6000,8.598E+00
21.7000,8.615E+00
21.8000,8.635E+00
21.9000,8.656E+00
22.0000,8.676E+00
22.1000,8.696E+00
22.2000,8.715E+00
22.3000,8.734E+00
22.4000,8.750E+00
22.5000,8.765E+00
22.6000,8.780E+00
22.7000,8.794E+00
22.8000,8.806E+00
22.9000,8.815E+00
23.0000,8.824E+00
23.1000,8.835E+00
23.2000,8.844E+00
23.3000,8.850E+00
23.4000,8.851E+00
23.5000,8.850E+00
23.6000,8.852E+00
23.7000,8.855E+00
23.8000,8.857E+00
23.9000,8.855E+00
24.0000,8.851E+00
24.1000,8.848E+00
24.2000,8.850E+00
24.3000,8.857E+00
24.4000,8.866E+00
24.5000,8.880E+00
24.6000,8.897E+00
24.7000,8.918E+00
24.8000,8.940E+00
24.9000,8.964E+00
25.0000,8.992E+00
25.1000,9.020E+00
25.2000,9.046E+00
25.3000,9.070E+00
25.4000,9.093E+00
25.5000,9.115E+00
25.6000,9.135E+00
25.7000,9.153E+00
25.8000,9.168E+00
25.9000,9.180E+00
26.0000,9.190E+00
26.1000,9.200E+00
26.2000,9.209E+00
26.3000,9.216E+00
26.4000,9.219E+00
26.5000,9.215E+00
26.6000,9.208E+00
26.7000,9.202E+00
26.8000,9.200E+00
26.9000,9.202E+00
27.0000,9.204E+00
27.1000,9.206E+00
27.2000,9.207E+00
27.3000,9.211E+00
27.4000,9.220E+00
27.5000,9.238E+00
27.6000,9.261E+00
27.7000,9.286E+00
27.8000,9.311E+00
27.9000,9.335E+00
28.0000,9.359E+00
28.1000,9.383E+00
28.2000,9.408E+00
28.3000,9.432E+00
28.4000,9.451E+00
28.5000,9.465E+00
28.6000,9.477E+00
28.7000,9.486E+00
28.8000,9.495E+00
28.9000,9.501E+00
29.0000,9.504E+00
29.1000,9.506E+00
29.2000,9.509E+00
29.3000,9.512E+00
29.4000,9.514E+00
29.5000,9.509E+00
29.6000,9.499E+00
29.7000,9.486E+00
29.8000,9.471E+00
29.9000,9.457E+00
30.0000,9.444E+00
30.1000,9.435E+00
30.2000,9.430E+00
30.3000,9.430E+00
30.4000,9.438E+00
30.5000,9.457E+00
30.6000,9.485E+00
30.7000,9.514E+00
30.8000,9.541E+00
30.9000,9.562E+00
31.0000,9.579E+00
31.1000,9.589E+00
31.2000,9.597E+00
31.3000,9.606E+00
31.4000,9.619E+00
31.5000,9.629E+00
31.6000,9.636E+00
31.7000,9.640E+00
31.8000,9.644E+00
31.9000,9.646E+00
32.0000,9.644E+00
32.1000,9.642E+00
32.2000,9.642E+00
32.3000,9.643E+00
32.4000,9.641E+00
32.5000,9.634E+00
32.6000,9.622E+00
32.7000,9.606E+00
32.8000,9.591E+00
32.9000,9.578E+00
33.0000,9.569E+00
33.1000,9.564E+00
33.2000,9.564E+00
33.3000,9.567E+00
33.4000,9.575E+00
33.5000,9.588E+00
33.6000,9.608E+00
