
Predictions were generated on 14-Apr-2026 at 19:50:31 using FAST.Farm, compiled on Jan 27 2026 at 22:54:51 as a 64-bit application using single precision at commit v4.2.0
 linked with  NWTC Subroutine Library

Description from the FAST.Farm input file: FAST.Farm input file, using two turbines separated by 3D downstream and an offset of 30m, with a turbulent inflow given by one turbsim box

Time                	RtVRelT1            	RtVRelT2            	RtVRelT3            	RtVRelT4            	RtVRelT5            	RtVRelT6            	RtVRelT7            	RtVRelT8            	RtVRelT9            	YawErrT1            	YawErrT2            	YawErrT3            	YawErrT4            	YawErrT5            	YawErrT6            	YawErrT7            	YawErrT8            	YawErrT9            	RtCtAvgT1           	RtCtAvgT2           	RtCtAvgT3           	RtCtAvgT4           	RtCtAvgT5           	RtCtAvgT6           	RtCtAvgT7           	RtCtAvgT8           	RtCtAvgT9           	RtSkewT1            	RtSkewT2            	RtSkewT3            	RtSkewT4            	RtSkewT5            	RtSkewT6            	RtSkewT7            	RtSkewT8            	RtSkewT9            	RtPosXT1            	RtPosXT2            	RtPosXT3            	RtPosXT4            	RtPosXT5            	RtPosXT6            	RtPosXT7            	RtPosXT8            	RtPosXT9            	RtPosYT1            	RtPosYT2            	RtPosYT3            	RtPosYT4            	RtPosYT5            	RtPosYT6            	RtPosYT7            	RtPosYT8            	RtPosYT9            
(s)                 	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(deg)        	(deg)        	(deg)        	(deg)        	(deg)        	(deg)        	(deg)        	(deg)        	(deg)        	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(deg)        	(deg)        	(deg)        	(deg)        	(deg)        	(deg)        	(deg)        	(deg)        	(deg)        	(m)          	(m)          	(m)          	(m)          	(m)          	(m)          	(m)          	(m)          	(m)          	(m)          	(m)          	(m)          	(m)          	(m)          	(m)          	(m)          	(m)          	(m)          
    0.0000	 4.790E+00	 5.571E+00	 5.955E+00	 6.015E+00	 5.370E+00	 5.063E+00	 5.107E+00	 5.288E+00	 4.948E+00	 4.458E+00	-9.721E-02	-1.179E+00	-3.490E+00	 1.321E+00	-5.552E-01	-2.685E+00	 1.695E+00	-4.366E-01	 7.864E-01	 7.520E-01	 8.181E-01	 8.576E-01	 8.021E-01	 8.651E-01	 9.199E-01	 8.772E-01	 8.132E-01	 6.939E+00	 3.946E+00	 5.287E+00	 5.314E+00	 6.312E+00	 8.192E+00	 7.782E+00	 6.397E+00	 8.090E+00	 6.250E+02	 6.250E+02	 6.250E+02	-5.000E+00	-5.000E+00	-5.000E+00	-6.350E+02	-6.350E+02	-6.350E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02
    3.0000	 4.920E+00	 5.249E+00	 5.565E+00	 5.947E+00	 5.001E+00	 4.572E+00	 4.740E+00	 4.647E+00	 4.912E+00	 4.894E+00	-2.184E+00	-2.216E+00	-1.350E+00	 1.503E+00	 2.460E+00	-1.044E+00	 1.407E+00	 1.925E+00	 7.864E-01	 7.520E-01	 8.181E-01	 8.576E-01	 8.021E-01	 8.651E-01	 9.199E-01	 8.772E-01	 8.132E-01	 7.328E+00	 4.980E+00	 8.124E+00	 5.561E+00	 5.381E+00	 7.998E+00	 8.260E+00	 4.225E+00	 6.371E+00	 6.254E+02	 6.255E+02	 6.256E+02	-4.361E+00	-4.493E+00	-4.569E+00	-6.346E+02	-6.345E+02	-6.346E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02
    6.0000	 4.755E+00	 5.099E+00	 5.379E+00	 5.568E+00	 4.905E+00	 4.405E+00	 4.501E+00	 4.547E+00	 4.830E+00	 4.278E+00	-1.946E+00	 1.050E+00	-2.303E+00	 5.935E-01	 1.345E+00	-6.180E-01	 2.422E+00	 2.104E+00	 7.912E-01	 7.487E-01	 8.579E-01	 8.783E-01	 8.726E-01	 9.375E-01	 9.171E-01	 9.553E-01	 8.261E-01	 7.502E+00	 5.309E+00	 8.889E+00	 8.547E+00	 5.028E+00	 8.018E+00	 8.800E+00	 6.140E+00	 6.154E+00	 6.265E+02	 6.266E+02	 6.271E+02	-2.744E+00	-3.230E+00	-3.453E+00	-6.335E+02	-6.332E+02	-6.336E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02
    9.0000	 4.939E+00	 5.145E+00	 5.556E+00	 5.696E+00	 4.930E+00	 4.547E+00	 4.694E+00	 4.558E+00	 4.720E+00	 2.043E+00	 2.073E+00	 6.533E-01	-3.835E+00	-1.326E+00	 3.261E+00	-3.203E+00	 2.923E+00	 3.198E+00	 7.737E-01	 7.241E-01	 8.672E-01	 8.863E-01	 8.738E-01	 9.442E-01	 9.198E-01	 9.585E-01	 8.163E-01	 6.708E+00	 5.032E+00	 9.508E+00	 9.000E+00	 7.005E+00	 8.476E+00	 9.079E+00	 6.280E+00	 8.212E+00	 6.278E+02	 6.280E+02	 6.291E+02	-7.468E-01	-1.675E+00	-2.050E+00	-6.322E+02	-6.317E+02	-6.324E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02
   12.0000	 4.944E+00	 5.060E+00	 5.635E+00	 6.094E+00	 5.192E+00	 4.802E+00	 4.714E+00	 4.509E+00	 4.514E+00	 1.334E+00	-1.568E-01	-1.970E+00	-2.266E+00	-3.876E+00	 1.725E+00	-6.662E-01	 2.424E+00	 6.209E-01	 7.562E-01	 7.450E-01	 8.565E-01	 8.679E-01	 8.622E-01	 8.796E-01	 8.947E-01	 9.410E-01	 8.132E-01	 8.513E+00	 5.567E+00	 8.162E+00	 9.609E+00	 5.805E+00	 9.149E+00	 1.084E+01	 9.322E+00	 9.650E+00	 6.290E+02	 6.293E+02	 6.308E+02	 1.028E+00	-2.903E-01	-7.945E-01	-6.311E+02	-6.305E+02	-6.314E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02
   15.0000	 4.933E+00	 5.113E+00	 5.663E+00	 6.743E+00	 5.356E+00	 5.364E+00	 5.001E+00	 4.971E+00	 4.607E+00	 1.210E+00	-2.391E+00	-4.496E+00	-1.951E+00	-5.446E+00	 1.564E+00	 8.071E-01	 5.300E-01	 1.636E+00	 7.347E-01	 7.546E-01	 8.652E-01	 8.389E-01	 8.484E-01	 9.049E-01	 8.812E-01	 9.731E-01	 7.959E-01	 8.298E+00	 6.766E+00	 1.084E+01	 1.062E+01	 7.070E+00	 6.572E+00	 8.358E+00	 1.146E+01	 8.980E+00	 6.296E+02	 6.299E+02	 6.317E+02	 2.098E+00	 5.479E-01	-2.148E-02	-6.303E+02	-6.299E+02	-6.308E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02
   18.0000	 4.975E+00	 4.699E+00	 5.931E+00	 7.220E+00	 5.881E+00	 5.582E+00	 5.082E+00	 5.426E+00	 4.428E+00	 1.387E+00	 1.184E+00	-1.842E+00	-2.195E+00	-4.149E+00	 1.236E+00	 1.718E+00	 1.229E+00	-2.394E-01	 7.608E-01	 7.342E-01	 8.464E-01	 7.877E-01	 8.370E-01	 8.653E-01	 8.305E-01	 8.999E-01	 7.515E-01	 6.848E+00	 6.963E+00	 1.022E+01	 9.809E+00	 7.491E+00	 9.873E+00	 8.783E+00	 1.130E+01	 8.014E+00	 6.295E+02	 6.297E+02	 6.317E+02	 2.284E+00	 6.350E-01	 1.199E-01	-6.303E+02	-6.301E+02	-6.309E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02
   21.0000	 5.058E+00	 4.595E+00	 6.149E+00	 7.300E+00	 6.134E+00	 5.837E+00	 5.062E+00	 6.066E+00	 4.537E+00	 7.294E+00	-1.434E+00	-2.697E+00	 7.660E-01	-2.835E+00	 1.589E+00	-5.483E-01	-1.315E+00	-3.210E+00	 7.682E-01	 7.928E-01	 8.192E-01	 7.627E-01	 7.900E-01	 7.962E-01	 8.160E-01	 8.193E-01	 7.978E-01	 1.011E+01	 6.516E+00	 9.075E+00	 8.162E+00	 6.441E+00	 8.701E+00	 7.793E+00	 1.017E+01	 7.930E+00	 6.287E+02	 6.288E+02	 6.307E+02	 1.683E+00	 2.644E-02	-3.110E-01	-6.308E+02	-6.309E+02	-6.317E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02
   24.0000	 4.817E+00	 4.913E+00	 5.883E+00	 7.719E+00	 6.446E+00	 6.228E+00	 5.209E+00	 6.313E+00	 4.697E+00	 4.147E+00	 8.670E-01	-3.415E+00	 1.897E+00	-2.410E+00	 5.678E-01	 3.749E-01	-9.090E-01	-4.676E-02	 7.907E-01	 8.825E-01	 8.056E-01	 7.601E-01	 7.718E-01	 7.865E-01	 8.128E-01	 7.670E-01	 8.107E-01	 9.347E+00	 6.307E+00	 6.885E+00	 8.448E+00	 8.311E+00	 9.246E+00	 9.661E+00	 8.369E+00	 8.348E+00	 6.275E+02	 6.274E+02	 6.291E+02	 6.280E-01	-1.022E+00	-1.068E+00	-6.316E+02	-6.319E+02	-6.328E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02
   27.0000	 4.939E+00	 4.563E+00	 5.281E+00	 7.340E+00	 6.865E+00	 6.146E+00	 5.425E+00	 6.682E+00	 4.600E+00	 2.285E+00	 3.383E+00	-3.094E+00	-4.388E-01	 2.345E-01	 2.474E+00	-2.506E+00	-7.149E-01	 6.109E-01	 8.348E-01	 7.648E-01	 8.104E-01	 7.502E-01	 7.190E-01	 7.699E-01	 8.123E-01	 7.682E-01	 7.862E-01	 3.851E+00	 8.845E+00	 5.557E+00	 6.153E+00	 6.787E+00	 7.549E+00	 7.527E+00	 8.731E+00	 9.119E+00	 6.263E+02	 6.260E+02	 6.273E+02	-4.185E-01	-2.128E+00	-1.829E+00	-6.326E+02	-6.326E+02	-6.340E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02
   30.0000	 4.431E+00	 4.296E+00	 4.714E+00	 7.012E+00	 6.698E+00	 5.766E+00	 5.377E+00	 6.085E+00	 4.413E+00	 3.458E+00	 2.471E-01	-4.986E+00	-2.385E+00	 7.851E-01	 2.133E+00	-3.297E+00	 1.385E+00	 1.251E+00	 8.122E-01	 7.650E-01	 8.323E-01	 7.784E-01	 6.658E-01	 8.138E-01	 8.186E-01	 7.560E-01	 7.980E-01	 6.151E+00	 5.404E+00	 6.593E+00	 8.004E+00	 5.915E+00	 8.436E+00	 6.531E+00	 8.221E+00	 5.909E+00	 6.255E+02	 6.249E+02	 6.259E+02	-1.112E+00	-2.910E+00	-2.343E+00	-6.332E+02	-6.329E+02	-6.348E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02
   33.0000	 4.375E+00	 3.904E+00	 4.195E+00	 6.442E+00	 6.050E+00	 5.422E+00	 5.282E+00	 5.673E+00	 4.398E+00	 1.805E+00	 4.004E-01	-4.458E+00	-1.596E+00	-2.907E+00	 4.081E+00	-4.170E+00	 6.684E-01	 9.392E-01	 8.472E-01	 7.911E-01	 9.006E-01	 7.948E-01	 7.034E-01	 8.535E-01	 7.735E-01	 8.380E-01	 7.591E-01	 6.404E+00	 2.937E+00	 7.028E+00	 6.551E+00	 8.230E+00	 7.845E+00	 7.698E+00	 8.274E+00	 4.592E+00	 6.251E+02	 6.244E+02	 6.250E+02	-1.360E+00	-3.146E+00	-2.485E+00	-6.334E+02	-6.326E+02	-6.352E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02
   36.0000	 3.584E+00	 3.788E+00	 3.857E+00	 6.428E+00	 6.084E+00	 5.244E+00	 5.526E+00	 5.794E+00	 4.272E+00	 3.409E+00	-9.062E-01	-3.275E+00	 5.504E-01	-1.517E+00	 4.620E-01	-2.453E+00	-4.481E-01	 3.790E+00	 8.943E-01	 8.590E-01	 9.455E-01	 8.344E-01	 7.671E-01	 9.137E-01	 8.368E-01	 8.948E-01	 7.297E-01	 7.484E+00	 2.432E+00	 6.406E+00	 7.363E+00	 6.434E+00	 6.413E+00	 7.186E+00	 7.207E+00	 4.667E+00	 6.254E+02	 6.246E+02	 6.248E+02	-1.266E+00	-2.815E+00	-2.259E+00	-6.332E+02	-6.318E+02	-6.349E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02
   39.0000	 3.303E+00	 3.738E+00	 3.518E+00	 6.357E+00	 5.843E+00	 5.348E+00	 5.465E+00	 6.103E+00	 4.538E+00	 5.704E+00	 9.754E-02	-4.527E+00	 4.891E-01	 1.041E-01	 2.533E+00	 1.171E+00	 3.655E-01	-2.502E+00	 1.012E+00	 8.984E-01	 9.522E-01	 8.605E-01	 7.591E-01	 9.095E-01	 8.177E-01	 8.696E-01	 7.742E-01	 1.015E+01	 4.337E+00	 9.131E+00	 6.730E+00	 9.465E+00	 7.444E+00	 8.450E+00	 8.209E+00	 6.057E+00	 6.260E+02	 6.254E+02	 6.252E+02	-9.740E-01	-2.067E+00	-1.761E+00	-6.326E+02	-6.310E+02	-6.341E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02
   42.0000	 3.066E+00	 3.538E+00	 3.181E+00	 5.996E+00	 5.790E+00	 5.516E+00	 5.145E+00	 6.447E+00	 4.277E+00	 1.141E+01	-2.671E+00	-6.373E+00	-1.206E+00	-1.817E+00	 2.084E+00	 8.316E-01	 9.033E-01	-4.353E+00	 1.092E+00	 9.241E-01	 9.007E-01	 8.520E-01	 7.787E-01	 8.671E-01	 8.105E-01	 8.156E-01	 7.515E-01	 1.260E+01	 5.792E+00	 8.748E+00	 8.310E+00	 7.250E+00	 6.252E+00	 8.896E+00	 8.009E+00	 7.316E+00	 6.269E+02	 6.265E+02	 6.259E+02	-6.651E-01	-1.201E+00	-1.135E+00	-6.318E+02	-6.302E+02	-6.331E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02
   45.0000	 3.204E+00	 4.049E+00	 3.294E+00	 5.812E+00	 5.980E+00	 5.699E+00	 5.106E+00	 6.654E+00	 4.036E+00	 2.753E+00	 1.099E+00	 4.470E-01	-5.386E-02	-1.178E+00	 2.575E+00	 2.031E+00	-1.520E-03	 1.023E+00	 1.185E+00	 8.517E-01	 9.809E-01	 8.539E-01	 7.610E-01	 8.086E-01	 7.947E-01	 7.727E-01	 7.806E-01	 7.955E+00	 7.738E+00	 5.095E+00	 8.873E+00	 8.010E+00	 6.445E+00	 7.797E+00	 8.706E+00	 1.078E+01	 6.276E+02	 6.277E+02	 6.268E+02	-4.997E-01	-5.068E-01	-5.905E-01	-6.312E+02	-6.298E+02	-6.322E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02
   48.0000	 3.406E+00	 4.262E+00	 3.327E+00	 5.794E+00	 6.353E+00	 5.727E+00	 5.484E+00	 6.874E+00	 4.238E+00	 2.468E+00	-2.734E-01	-4.910E-02	-1.702E+00	-1.088E+00	 1.164E+00	-8.454E-01	-1.398E+00	-9.617E-01	 1.048E+00	 8.424E-01	 1.002E+00	 8.317E-01	 7.324E-01	 7.723E-01	 8.105E-01	 7.619E-01	 7.657E-01	 5.931E+00	 9.207E+00	 7.291E+00	 7.032E+00	 8.040E+00	 8.767E+00	 5.799E+00	 7.916E+00	 6.497E+00	 6.279E+02	 6.285E+02	 6.274E+02	-5.829E-01	-1.487E-01	-3.217E-01	-6.308E+02	-6.297E+02	-6.317E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02
   51.0000	 3.494E+00	 4.765E+00	 3.685E+00	 5.596E+00	 6.472E+00	 5.601E+00	 5.402E+00	 6.957E+00	 4.665E+00	 6.149E+00	-1.799E+00	-8.152E-01	 4.254E-01	-1.504E+00	 9.066E-01	 7.086E-01	-3.275E+00	-1.162E+00	 1.070E+00	 7.758E-01	 9.626E-01	 8.570E-01	 7.065E-01	 7.794E-01	 7.676E-01	 7.441E-01	 7.053E-01	 9.388E+00	 6.830E+00	 3.588E+00	 9.819E+00	 6.887E+00	 8.577E+00	 6.768E+00	 8.404E+00	 8.587E+00	 6.278E+02	 6.287E+02	 6.278E+02	-9.181E-01	-1.531E-01	-4.548E-01	-6.308E+02	-6.299E+02	-6.317E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02
   54.0000	 3.164E+00	 4.345E+00	 4.149E+00	 5.677E+00	 6.692E+00	 5.618E+00	 5.267E+00	 6.869E+00	 4.847E+00	 7.052E+00	-4.287E+00	 3.066E+00	-1.389E+00	-1.950E+00	 1.171E+00	 1.822E+00	-1.482E+00	-3.429E+00	 1.012E+00	 7.365E-01	 9.236E-01	 9.032E-01	 7.164E-01	 7.964E-01	 7.915E-01	 7.451E-01	 6.789E-01	 9.323E+00	 9.289E+00	 7.437E+00	 7.134E+00	 7.805E+00	 8.724E+00	 6.768E+00	 7.858E+00	 8.298E+00	 6.273E+02	 6.284E+02	 6.277E+02	-1.440E+00	-4.528E-01	-9.794E-01	-6.312E+02	-6.303E+02	-6.322E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02
   57.0000	 3.281E+00	 4.593E+00	 3.749E+00	 5.556E+00	 6.615E+00	 5.347E+00	 5.491E+00	 7.200E+00	 4.841E+00	 2.180E+00	 4.479E-01	 2.214E+00	 1.447E-01	 4.294E-01	 2.025E+00	 4.123E+00	 6.470E-01	 1.845E+00	 1.092E+00	 7.701E-01	 8.389E-01	 9.109E-01	 7.084E-01	 7.884E-01	 8.104E-01	 7.575E-01	 6.673E-01	 6.440E+00	 8.673E+00	 5.367E+00	 7.128E+00	 7.184E+00	 8.398E+00	 6.361E+00	 8.598E+00	 8.285E+00	 6.265E+02	 6.276E+02	 6.272E+02	-2.039E+00	-9.339E-01	-1.756E+00	-6.318E+02	-6.306E+02	-6.330E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02	-8.820E+02	 0.000E+00	 8.820E+02
