
Predictions were generated on 24-Feb-2026 at 13:06:53 using FAST.Farm, compiled on Jan 27 2026 at 22:54:51 as a 64-bit application using single precision at commit v4.2.0
 linked with  NWTC Subroutine Library

Description from the FAST.Farm input file: FAST.Farm input file, using two turbines separated by 3D downstream and an offset of 30m, with a turbulent inflow given by one turbsim box

Time                	RtVAmbT1            	RtVAmbT2            	RtVRelT2            	YawErrT1            	YawErrT2            	CtT1N02             	CtT1N03             	CtT1N04             	CtT1N05             	CtT1N06             	WkAxsXT2D1          	WkAxsYT2D1          	WkAxsZT2D1          	WkPosXT2D1          	WkPosYT2D1          	WkPosZT2D1          	WkDfVxT1N01D1       	WkDfVxT1N02D1       	WkDfVxT1N03D1       	WkDfVxT1N04D1       	WkDfVxT1N05D1       	WkDfVxT1N06D1       	WkDfVxT1N07D1       	WkDfVrT1N01D1       	WkDfVrT1N02D1       	WkDfVrT1N03D1       	WkDfVrT1N04D1       	WkDfVrT1N05D1       	WkDfVrT1N06D1       	WkDfVrT1N07D1       	WkDfVxT2N01D1       	WkDfVxT2N02D1       	WkDfVxT2N03D1       	WkDfVxT2N04D1       	WkDfVxT2N05D1       	WkDfVxT2N06D1       	WkDfVxT2N07D1       	WkDfVrT2N01D1       	WkDfVrT2N02D1       	WkDfVrT2N03D1       	WkDfVrT2N04D1       	WkDfVrT2N05D1       	WkDfVrT2N06D1       	WkDfVrT2N07D1       
(s)                 	(m/s)        	(m/s)        	(m/s)        	(deg)        	(deg)        	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(m)          	(m)          	(m)          	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        
    0.0000	 6.465E+00	 6.989E+00	 7.325E+00	 6.281E+00	 8.636E+00	 6.006E-01	 6.964E-01	 9.735E-01	-2.741E-04	-1.144E-06	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
    3.0000	 6.465E+00	 6.989E+00	 7.076E+00	 6.730E+00	 3.829E+00	 5.228E-01	 6.493E-01	 9.783E-01	-2.703E-04	-1.128E-06	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
    6.0000	 6.424E+00	 6.699E+00	 7.002E+00	 5.426E+00	 6.369E+00	 5.316E-01	 6.749E-01	 9.701E-01	-2.705E-04	-1.129E-06	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
    9.0000	 6.359E+00	 6.588E+00	 6.600E+00	 9.155E+00	 7.216E+00	 4.977E-01	 7.870E-01	 9.671E-01	-2.592E-04	-1.082E-06	 9.962E-01	 0.000E+00	-8.716E-02	 4.362E+02	 9.973E+00	 8.988E+01	-1.422E+00	-2.340E+00	-2.960E+00	-3.485E+00	-3.358E-01	-2.725E-04	-2.107E-19	 0.000E+00	 6.119E-02	-3.249E-02	-1.051E-02	-4.368E-01	-3.569E-01	-1.922E-01	-1.270E+00	-2.357E+00	-3.820E+00	-4.434E+00	-6.251E-01	-1.012E-03	-6.297E-19	 0.000E+00	 7.651E-02	 3.716E-02	-1.258E-01	-5.707E-01	-4.669E-01	-2.513E-01
   12.0000	 6.416E+00	 6.492E+00	 6.495E+00	 7.185E+00	 7.723E+00	 4.563E-01	 7.394E-01	 9.617E-01	-2.732E-04	-1.140E-06	 9.962E-01	 0.000E+00	-8.716E-02	 4.363E+02	 1.296E+01	 9.115E+01	-1.664E+00	-2.382E+00	-2.928E+00	-3.348E+00	-3.435E-01	-5.614E-04	-8.633E-19	 0.000E+00	 5.113E-02	-1.659E-02	-2.788E-02	-3.035E-01	-2.356E-01	-1.268E-01	-1.509E+00	-2.443E+00	-3.799E+00	-4.262E+00	-5.916E-01	-1.478E-03	-1.637E-18	 0.000E+00	 6.870E-02	 4.002E-02	-1.434E-01	-4.949E-01	-4.008E-01	-2.157E-01
   15.0000	 6.572E+00	 6.467E+00	 6.849E+00	 5.275E+00	 7.041E+00	 4.117E-01	 7.887E-01	 9.499E-01	-2.536E-04	-1.058E-06	 9.962E-01	 0.000E+00	-8.716E-02	 4.364E+02	 1.510E+01	 9.199E+01	-1.831E+00	-2.413E+00	-2.909E+00	-3.248E+00	-3.623E-01	-1.000E-03	-1.824E-18	 0.000E+00	 4.305E-02	-6.946E-03	-3.606E-02	-2.354E-01	-1.751E-01	-9.422E-02	-1.632E+00	-2.489E+00	-3.789E+00	-4.166E+00	-5.811E-01	-1.844E-03	-1.789E-18	 0.000E+00	 6.416E-02	 4.196E-02	-1.499E-01	-4.524E-01	-3.635E-01	-1.956E-01
   18.0000	 6.746E+00	 6.540E+00	 6.880E+00	 7.218E+00	 7.750E+00	 3.841E-01	 6.710E-01	 1.020E+00	-2.860E-04	-1.193E-06	 9.962E-01	 0.000E+00	-8.716E-02	 4.364E+02	 1.551E+01	 9.174E+01	-1.826E+00	-2.413E+00	-2.911E+00	-3.253E+00	-3.688E-01	-1.073E-03	-2.357E-18	 0.000E+00	 4.322E-02	-7.212E-03	-3.531E-02	-2.353E-01	-1.746E-01	-9.392E-02	-1.631E+00	-2.487E+00	-3.789E+00	-4.173E+00	-5.843E-01	-1.790E-03	-1.421E-18	 0.000E+00	 6.391E-02	 4.258E-02	-1.507E-01	-4.490E-01	-3.601E-01	-1.938E-01
   21.0000	 6.845E+00	 6.537E+00	 6.968E+00	 7.762E+00	 9.323E+00	 4.521E-01	 7.060E-01	 9.870E-01	-2.905E-04	-1.212E-06	 9.961E-01	 5.021E-05	-8.779E-02	 4.364E+02	 1.500E+01	 9.142E+01	-1.550E+00	-2.102E+00	-2.684E+00	-3.349E+00	-4.159E-01	-1.357E-03	-2.506E-18	 0.000E+00	 3.904E-02	 9.302E-03	-4.462E-02	-2.526E-01	-1.880E-01	-1.011E-01	-1.468E+00	-2.218E+00	-3.327E+00	-3.929E+00	-5.018E-01	-1.448E-03	-1.537E-18	 0.000E+00	 5.312E-02	 3.375E-02	-9.548E-02	-3.341E-01	-2.568E-01	-1.382E-01
   24.0000	 7.029E+00	 6.667E+00	 7.317E+00	 8.090E+00	 8.226E+00	 4.698E-01	 7.512E-01	 9.263E-01	-2.590E-04	-1.081E-06	 9.961E-01	 3.497E-05	-8.819E-02	 4.365E+02	 1.499E+01	 9.218E+01	-1.533E+00	-2.051E+00	-2.645E+00	-3.255E+00	-3.933E-01	-1.571E-03	-5.207E-18	 0.000E+00	 3.971E-02	 1.219E-02	-4.621E-02	-2.430E-01	-1.795E-01	-9.651E-02	-1.495E+00	-2.278E+00	-3.466E+00	-3.956E+00	-5.403E-01	-1.701E-03	-1.976E-18	 0.000E+00	 5.727E-02	 3.843E-02	-1.217E-01	-3.849E-01	-3.029E-01	-1.630E-01
