
Predictions were generated on 17-Mar-2026 at 16:08:51 using FAST.Farm, compiled on Jan 27 2026 at 22:54:51 as a 64-bit application using single precision at commit v4.2.0
 linked with  NWTC Subroutine Library

Description from the FAST.Farm input file: FAST.Farm input file, using two turbines separated by 3D downstream and an offset of 30m, with a turbulent inflow given by one turbsim box

Time                	RtVAmbT1            	RtVAmbT2            	RtVRelT2            	YawErrT1            	YawErrT2            	CtT1N02             	CtT1N03             	CtT1N04             	CtT1N05             	CtT1N06             	WkAxsXT2D1          	WkAxsYT2D1          	WkAxsZT2D1          	WkPosXT2D1          	WkPosYT2D1          	WkPosZT2D1          	WkDfVxT1N01D1       	WkDfVxT1N02D1       	WkDfVxT1N03D1       	WkDfVxT1N04D1       	WkDfVxT1N05D1       	WkDfVxT1N06D1       	WkDfVxT1N07D1       	WkDfVrT1N01D1       	WkDfVrT1N02D1       	WkDfVrT1N03D1       	WkDfVrT1N04D1       	WkDfVrT1N05D1       	WkDfVrT1N06D1       	WkDfVrT1N07D1       	WkDfVxT2N01D1       	WkDfVxT2N02D1       	WkDfVxT2N03D1       	WkDfVxT2N04D1       	WkDfVxT2N05D1       	WkDfVxT2N06D1       	WkDfVxT2N07D1       	WkDfVrT2N01D1       	WkDfVrT2N02D1       	WkDfVrT2N03D1       	WkDfVrT2N04D1       	WkDfVrT2N05D1       	WkDfVrT2N06D1       	WkDfVrT2N07D1       
(s)                 	(m/s)        	(m/s)        	(m/s)        	(deg)        	(deg)        	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(-)          	(m)          	(m)          	(m)          	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        	(m/s)        
    0.0000	 6.975E+00	 5.700E+00	 6.078E+00	 1.011E+01	 9.113E+00	 5.065E-01	 7.786E-01	 8.152E-01	-2.320E-04	-9.680E-07	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
    3.0000	 6.975E+00	 5.700E+00	 5.908E+00	 7.985E+00	 5.298E+00	 4.620E-01	 8.518E-01	 7.520E-01	-2.136E-04	-8.913E-07	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
    6.0000	 7.184E+00	 5.633E+00	 5.834E+00	 6.809E+00	 6.095E+00	 4.936E-01	 7.801E-01	 8.338E-01	-2.330E-04	-9.725E-07	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
    9.0000	 7.261E+00	 5.676E+00	 5.542E+00	 1.138E+01	 1.377E+01	 4.915E-01	 7.760E-01	 8.702E-01	-2.464E-04	-1.028E-06	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	-1.827E+00	-2.662E+00	-3.711E+00	-3.642E+00	-2.885E-01	-7.264E-04	-1.031E-17	 0.000E+00	 8.449E-02	 1.730E-02	-1.274E-01	-3.894E-01	-2.968E-01	-1.598E-01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
   12.0000	 7.314E+00	 5.877E+00	 5.743E+00	 9.685E+00	 8.539E+00	 4.890E-01	 8.355E-01	 7.819E-01	-2.165E-04	-9.035E-07	 9.962E-01	 0.000E+00	-8.716E-02	 9.403E+02	-6.212E+02	 9.111E+01	-2.156E+00	-2.765E+00	-3.662E+00	-3.439E+00	-3.197E-01	-1.656E-03	-5.698E-17	 0.000E+00	 7.093E-02	 2.870E-02	-1.456E-01	-3.153E-01	-2.366E-01	-1.273E-01	-1.456E+00	-2.107E+00	-3.113E+00	-3.505E+00	-4.665E-01	-1.555E-03	-3.832E-18	 0.000E+00	 6.779E-02	 4.379E-02	-1.411E-01	-5.402E-01	-4.409E-01	-2.373E-01
   15.0000	 7.211E+00	 6.002E+00	 6.078E+00	 7.596E+00	 8.283E+00	 4.857E-01	 7.993E-01	 7.914E-01	-2.149E-04	-8.969E-07	 9.962E-01	 0.000E+00	-8.716E-02	 9.405E+02	-6.189E+02	 9.286E+01	-2.267E+00	-2.806E+00	-3.648E+00	-3.362E+00	-3.327E-01	-2.354E-03	-1.449E-16	 0.000E+00	 6.487E-02	 3.081E-02	-1.477E-01	-2.936E-01	-2.191E-01	-1.178E-01	-1.587E+00	-2.160E+00	-3.106E+00	-3.384E+00	-4.591E-01	-2.237E-03	-1.132E-17	 0.000E+00	 6.192E-02	 4.553E-02	-1.532E-01	-4.769E-01	-3.849E-01	-2.071E-01
   18.0000	 7.123E+00	 6.126E+00	 6.465E+00	 9.131E+00	 8.266E+00	 5.554E-01	 8.516E-01	 6.668E-01	-1.802E-04	-7.521E-07	 9.962E-01	 0.000E+00	-8.716E-02	 9.406E+02	-6.162E+02	 9.452E+01	-2.212E+00	-2.821E+00	-3.830E+00	-3.285E+00	-2.828E-01	-1.865E-03	-1.434E-16	 0.000E+00	 7.444E-02	 3.953E-02	-2.127E-01	-3.419E-01	-2.617E-01	-1.408E-01	-1.699E+00	-2.206E+00	-3.101E+00	-3.284E+00	-4.547E-01	-2.968E-03	-2.189E-17	 0.000E+00	 5.733E-02	 4.607E-02	-1.600E-01	-4.266E-01	-3.413E-01	-1.835E-01
   21.0000	 7.185E+00	 6.374E+00	 6.356E+00	 8.518E+00	 9.469E+00	 4.833E-01	 8.072E-01	 8.213E-01	-2.350E-04	-9.805E-07	 9.962E-01	 0.000E+00	-8.716E-02	 9.407E+02	-6.146E+02	 9.479E+01	-2.207E+00	-2.800E+00	-3.690E+00	-3.447E+00	-3.208E-01	-1.883E-03	-1.128E-16	 0.000E+00	 6.679E-02	 2.765E-02	-1.452E-01	-3.002E-01	-2.256E-01	-1.213E-01	-1.739E+00	-2.223E+00	-3.099E+00	-3.247E+00	-4.551E-01	-3.322E-03	-1.953E-17	 0.000E+00	 5.583E-02	 4.605E-02	-1.611E-01	-4.115E-01	-3.284E-01	-1.766E-01
   24.0000	 7.282E+00	 6.707E+00	 6.841E+00	 6.080E+00	 1.113E+01	 4.662E-01	 8.440E-01	 8.372E-01	-2.337E-04	-9.752E-07	 9.962E-01	 8.765E-06	-8.742E-02	 9.405E+02	-6.151E+02	 9.279E+01	-2.107E+00	-2.692E+00	-3.528E+00	-3.464E+00	-3.068E-01	-1.640E-03	-8.930E-17	 0.000E+00	 6.154E-02	 2.175E-02	-1.152E-01	-2.772E-01	-2.070E-01	-1.113E-01	-1.589E+00	-1.985E+00	-2.602E+00	-3.080E+00	-3.932E-01	-2.276E-03	-1.747E-17	 0.000E+00	 4.186E-02	 2.846E-02	-1.006E-01	-3.514E-01	-2.782E-01	-1.496E-01
