
Predictions were generated on 17-Mar-2026 at 16:08:51 using OpenFAST, compiled on Jan 27 2026 at 22:54:51 as a 64-bit application using single precision at commit v4.2.0
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn

Description from the FAST input file: FAST Certification Test #26: NREL 5.0 MW Baseline Wind Turbine (Onshore)

Time	Wind1VelX	Wind1VelY	Wind1VelZ	OoPDefl1	IPDefl1	RotSpeed	TTDspFA	TTDspSS	RootMIP1	RootMOoP1	RootMzb1	RotTorq	YawBrMyp	TwrBsMyt	YawBrFxn	RtSkew	RtVAvgxh	GenPwr	GenTq
(s)	(m/s)	(m/s)	(m/s)	(m)	(m)	(rpm)	(m)	(m)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN)	(deg)	(m/s)	(kW)	(kN-m)
    0.0000	 5.339E+00	 9.044E-01	-1.003E+00	 0.000E+00	 0.000E+00	 9.000E+00	 0.000E+00	 0.000E+00	 5.170E+00	 9.078E+01	 2.300E-07	 3.757E-05	-4.094E+02	-3.326E+02	 1.513E+01	 7.595E+00	 6.357E+00	 1.682E+03	 1.949E+01
    0.1000	 5.393E+00	 8.612E-01	-1.080E+00	 2.632E-01	-3.400E-02	 8.921E+00	-5.895E-04	-1.655E-04	 4.459E+02	 5.725E+02	-2.035E+01	 1.172E+03	-6.153E+02	 5.531E+02	 3.092E+00	 1.219E+01	 5.055E+00	 1.492E+03	 1.775E+01
    0.2000	 5.447E+00	 8.179E-01	-1.156E+00	 8.133E-01	-1.916E-01	 8.807E+00	-1.527E-03	-1.357E-03	 9.573E+02	 1.705E+03	-2.845E+01	 1.999E+03	-9.476E+02	 7.599E+02	 1.021E+01	 1.526E+01	 4.494E+00	 1.490E+03	 1.775E+01
    0.3000	 5.501E+00	 7.747E-01	-1.232E+00	 1.435E+00	-3.244E-01	 8.911E+00	-7.730E-04	-3.732E-03	 1.496E+03	 2.980E+03	-3.367E+01	 2.538E+03	-1.277E+03	-3.947E+02	 5.498E+01	 1.393E+01	 4.331E+00	 1.507E+03	 1.775E+01
    0.4000	 5.555E+00	 7.314E-01	-1.308E+00	 2.061E+00	-3.810E-01	 8.879E+00	 3.731E-03	-6.978E-03	 1.845E+03	 3.805E+03	-3.137E+01	 2.164E+03	-1.812E+03	 5.792E+02	 7.963E+01	 1.056E+01	 4.509E+00	 1.533E+03	 1.775E+01
    0.5000	 5.609E+00	 6.882E-01	-1.385E+00	 2.556E+00	-4.480E-01	 8.858E+00	 1.316E-02	-1.034E-02	 1.999E+03	 4.200E+03	-3.244E+01	 8.730E+02	-2.472E+03	 3.813E+03	 8.599E+01	 9.357E+00	 4.988E+00	 1.525E+03	 1.775E+01
    0.6000	 5.636E+00	 6.670E-01	-1.380E+00	 2.818E+00	-5.001E-01	 8.814E+00	 2.795E-02	-1.271E-02	 2.446E+03	 4.426E+03	-3.101E+01	 8.134E+02	-2.791E+03	 6.180E+03	 1.261E+02	 1.022E+01	 5.526E+00	 1.493E+03	 1.775E+01
    0.7000	 5.653E+00	 6.530E-01	-1.349E+00	 2.875E+00	-6.049E-01	 8.712E+00	 4.785E-02	-1.417E-02	 2.942E+03	 4.506E+03	-4.026E+01	 1.321E+03	-2.847E+03	 8.603E+03	 1.832E+02	 1.017E+01	 5.969E+00	 1.471E+03	 1.775E+01
    0.8000	 5.671E+00	 6.391E-01	-1.318E+00	 2.805E+00	-6.819E-01	 8.759E+00	 7.218E-02	-1.548E-02	 3.351E+03	 4.433E+03	-4.685E+01	 2.227E+03	-2.873E+03	 1.357E+04	 2.098E+02	 9.491E+00	 6.250E+00	 1.472E+03	 1.775E+01
